ra,dec,gal_l,gal_b,h_mag,shmag,h_2mass,k_2mass,j_2mass,p,sp,pa_deg,gpa_deg,spa,q,sq,u,su,nhwp,uf
288.337241,11.009961,45.212364,0.211530,11.60890,0.00690,11.609,10.318,14.491,4.95,0.69,5.0,67.4,4.0,4.917,0.687,0.875,0.686,16,1
288.101847,11.227597,45.298167,0.517068,10.68480,0.00230,10.654,9.854,12.520,1.27,0.31,20.1,82.6,7.0,1.000,0.328,0.848,0.285,16,1
288.836040,11.301643,45.698004,-0.086329,11.93270,0.00800,11.961,11.007,14.151,3.60,1.61,27.6,89.8,12.8,2.253,1.730,3.236,1.552,16,1
288.055528,11.376413,45.409043,0.626233,10.82320,0.00260,10.822,10.492,11.931,0.96,0.41,63.3,125.8,12.2,-0.623,0.346,0.836,0.438,16,1
288.057169,11.267540,45.313280,0.574403,8.73280,0.00050,8.634,7.598,10.547,0.58,0.15,26.4,88.8,7.3,0.363,0.135,0.477,0.156,16,1
288.058800,11.128963,45.191186,0.508825,9.75990,0.00090,9.717,8.809,11.656,2.37,0.22,19.4,81.8,2.7,1.854,0.239,1.490,0.187,16,1
288.346548,11.272431,45.449132,0.325181,9.80110,0.00090,9.815,9.234,11.307,1.31,0.22,161.0,43.4,4.9,1.051,0.228,-0.820,0.219,16,1
288.060416,11.598509,45.608138,0.724805,12.10740,0.00720,12.143,11.433,13.761,2.30,1.03,166.7,49.1,12.9,2.253,1.036,-1.133,1.022,16,1
288.850340,11.048569,45.480524,-0.216507,9.64948,0.00060,9.633,8.536,11.987,0.92,0.12,35.8,98.0,3.8,0.295,0.137,0.883,0.121,32,1
288.852143,10.980347,45.420962,-0.249820,11.47370,0.00390,11.407,10.282,13.739,2.41,0.77,32.3,94.6,9.2,1.085,0.747,2.286,0.779,16,1
288.067120,11.592635,45.605972,0.716264,10.92810,0.00300,10.949,10.270,12.615,1.42,0.61,173.7,56.2,12.4,1.508,0.612,-0.335,0.630,16,1
288.068803,10.948060,45.035384,0.416362,10.46470,0.00230,10.400,9.537,12.362,2.33,0.46,27.4,89.8,5.6,1.365,0.456,1.937,0.455,16,1
